Title,Artist,Album
No Shame,5 Seconds Of Summer,CALM
BLENDER,5 Seconds Of Summer,5SOS5
Chosen 1,Polo G,Die A Legend
New Love,Dua Lipa,Dua Lipa (Deluxe)
honey,Halsey,"If I Can't Have Love, I Want Power - Live Performance Digital Album"
Hate Myself,NF,The Search
Lonely Is the Muse,Halsey,Lonely Is The Muse
Dade County Dreaming (feat. JT & Yung Miami),Camila Cabello,"C,XOXO (Target Exclusive)"
Too Much (feat. Timbaland),Zayn,
Easier than Lying,Halsey,"If I Can't Have Love, I Want Power"
Talking to Yourself,Carly Rae Jepsen,The Loneliest Time
Leaked,Lil Tjay,Leaked - Single
June Gloom,Camila Cabello,"C,XOXO (Target Exclusive)"
Change Your Life,Iggy Azalea,The New Classic
B.O.A.T.,Camila Cabello,"C,XOXO (Target Exclusive)"
Inertia,AJR,The Maybe Man
Sour Diesel,Zayn,Sour Diesel
THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,THE GIRLS (BLACKPINK THE GAME OST)
House Arrest Tingz,YoungBoy Never Broke Again,Top
Pornography,Travis Scott,Rodeo (expanded edition)
THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,THE GIRLS (BLACKPINK THE GAME OST) - Single
I Can Tell,Travis Scott,Rodeo (expanded edition)
Finer Things,Polo G,Finer Things
Take Me to the Beach (feat. Ado),Imagine Dragons,Take Me to the Beach (feat. Ado) - Single
Want You in My Room,Carly Rae Jepsen,Spotify Singles
Heartbreak Weather,Niall Horan,Songs For The Summer
Still,Niall Horan,Niall's Mix
Pray 4 Love (feat. The Weeknd),Travis Scott,Rodeo (Deluxe)
RUNNING,NF,HOPE
Cry,Carly Rae Jepsen,E•MO•TION: Side B
Maybe Man,AJR,The Maybe Man
concert for aliens,Machine Gun Kelly,Tickets To My Downfall (SOLD OUT Deluxe)
The DJ Is Crying For Help,AJR,The DJ Is Crying For Help
Everywhere,Niall Horan,Niall's Mix
Talkin' Tennessee,Morgan Wallen,If I Know Me
Whip It,Nicki Minaj,Pink Friday ... Roman Reloaded
MOTTO,NF,HOPE
